"nome";"logradouro";"bairro";"telefone";"rpa";"Observacao";"latitude";"longitude"
"ESCOLA PROFISSIONAL ANEXA AO SINDICATO DOS TECELÕES";"Rua do Bom Jesus, 147, Recife";"Recife";"3355-3485";"RPA 1";"e-mail Escola.sindicato@hotmail.com";"-8.06221";"-34.87161"
"CENTRO DE EDUCAÇÃO PROFISSIONAL JORNALISTA CRISTIANO DONATO";"Rua da Imperatriz, 182";"Boa Vista";"3355-3592";"RPA 1";"e-mail anasilva.bezerra@gmail.com";"-8.06293";"-34.88407"
"CENTRO DE QUALIFICAÇÃO PROFISSIONAL SÃO JOSÉ";"Rua Coelho Leite, 402";"Santo Amaro";"3355-3808";"RPA 1";"e-mail rmms@terra.com.br";"-8.05018";"-34.88059"
"ESCOLA PROFISSIONAL DE BEBERIBE – ZULEIDE GOMES MONTEIRO";"Rua Melânio de Barros Correia, 26";"Beberibe";"3355-3656";"RPA 2";"E-mail zuleidegomesmonteiro@gmail.com";"-8.00273";"-34.89891"
"ESCOLA PROFISSIONAL DONA OLEGARINHA – ANEXA À IGREJA DAS GRAÇAS";"Rua Pe Landim, 392";"Madalena";"3355-3004";"RPA 3";"E-mail ep.donaolegarinha@educarecife.com.br";"-8.0492";"-34.91231"
"ESCOLA PROFISSIONAL VIRGEM PODEROSA";"Rua Leonardo Cavalcante, s/n";"Parnamirim";"3355-3632";"RPA 3";"";"-8.0376";"-34.9101"
"ESCOLA PROFISSIONAL PROFESSOR MOACIR DE MELO RÊGO";"Rua Vasco da Gama, 978";"Vasco da Gama";"3355-6898";"RPA 3";"E-mail moacirdemelorego@gmail.com";"-8.01243";"-34.91996"
"ESCOLA PROFISSIONAL PROFESSOR ADERBAL JUREMA";"Rua Vasco da Gama, 588";"Vasco da Gama";"3355-3829";"RPA 3";"E-mail: stelaleal2008@hotmail.com";"-8.01595";"-34.92022"
"ESCOLA PROFISSIONAL MAGALHÃES BASTOS";"Rua Francisco Lacerda, s/n";"Várzea";"3355-6006";"RPA 4";"E-mail escolaprofissionalmg@gmail.com";"-8.04945";"-34.95797"
"ESCOLA PROFISSIONAL ENGENHEIRO ANTÔNIO BEZERRA BALTAR";"Rua Álvaro Teixeira Mesquita, 125";"Engenho do Meio";"3355-3438";"RPA 4";"";"-8.04989";"-34.9398"
"ASSOCIAÇÃO PESTALOZZI DO RECIFE – ANEXA À ESCOLA MUNICIPAL DARCY RIBEIRO";"Rua Dianópolis, 95";"Cordeiro";"3453-5979";"RPA 4";"Oferece Cursos exclusivamente para Pessoas com deficiência intelectual – E-mail: pestalozzirecife@yahoo.com.br";"-8.04747";"-34.91828"
"ESCOLA PROFISSIONAL BIDU KRAUSE";"Avenida 11 de Agosto, s/n";"Totó";"Não tem";"RPA 5";"";"-8.0807";"-34.96948"
"ESCOLA PROFISSIONAL DE AREIAS";"Rua Ipojuca, s/n";"Areias";"3355-3596 / 3455-5626";"RPA 5";"";"-8.09467";"-34.93599"
"ESCOLA PROFISSIONAL DO BONGI";"Rua Avertano Rocha s/n";"Bongi";"3355-4994 / 3227-6046";"RPA 5";"";"-8.0669";"-34.93371"
"ESCOLA PROFISSIONAL MARIA SAMPAIO DE LUCENA";"Avenida Rio Grande, s/n ";"Ibura";"3355-6903";"RPA 6";"UR 1 Ibura";"-8.11672";"-34.94763"
"ESCOLA PROFISSIONAL VILA DOS MILAGRES";"Rua Desembargador Pedro Ribeiro Malta, 126";"Ibura";"3355-4795";"RPA 6";"";"-8.1078";"-34.95056"
