"RAZAO SOCIAL";"CNPJ";"PROCESSO DE CREDENCIAMENTO";"DATA DO CREDENCIAMENTO";"SITUACAO CADASTRAL";"FILIAL"
"ASSOCIACAO COMUNITARIA MARIA ESTEVAO                                          ";"11.547.676/0001-16";"Edital de Chamamento Público n°16/2022";"2005-09-24";"ATIVA";"             "
"CENTRO EDUCACIONAL CRECHE VOVO ROSA                                           ";"48.946.322/0001-54";"Edital de Chamamento Público n°16/2022";"2022-12-19";"ATIVA";"             "
"ESCOLA COMUNITARIA TOM E JERRY                                                ";"02.317.302/0001-13";"Edital de Chamamento Público n°16/2022";"2005-11-03";"ATIVA";"             "
"SEMEART                                                                       ";"50.756.555/0001-36";"Edital de Chamamento Público n°16/2022";"2023-04-17";"ATIVA";"             "
"CRECHE BENEFICENTE SANT´ANA                                                   ";"04.866.534/0001-56";"Edital de Chamamento Público n°16/2022";"2002-01-18";"ATIVA";"             "
"CENTRO EDUCACIONAL COMUNITARIO REDENCAO CECRE                                 ";"00.899.075/0002-37";"Edital de Chamamento Público n°16/2022";"2022-11-17";"ATIVA";"             "
"RA ASSOCIACAO DE APOIO AO DESENVOLVIMENTO SOCIAL                              ";"43.712.329/0001-98";"Edital de Chamamento Público n°16/2022";"2021-07-15";"ATIVA";"             "
"ASSOCIACAO PRO TERNURA                                                        ";"47.299.152/0001-09";"Edital de Chamamento Público n°16/2022";"2022-07-18";"ATIVA";"             "
"PAO DA VIDA                                                                   ";"02.878.521/0001-71";"Edital de Chamamento Público n°16/2022";"2005-11-03";"ATIVA";"             "
"ASSOCIACAO PAI E FILHOS DO SABER                                              ";"49.462.651/0001-92";"Edital de Chamamento Público n°16/2022";"2023-01-24";"ATIVA";"             "
"ASSOCIACAO CENTRO DE PROGRESSAO NOSSA SENHORA APARECIDA                       ";"49.265.992/0001-78";"Edital de Chamamento Público n°16/2022";"2023-01-03";"ATIVA";"MATRIZ       "
"ASSOCIACAO CENTRO DE PROGRESSAO NOSSA SENHORA APARECIDA                       ";"49.265.992/0002-59";"Edital de Chamamento Público n°16/2022";"2023-05-03";"ATIVA";"FILIAL 1     "
"CRECHE COMUNITARIA NOSSA SRA BOA VIAGEM ENTRA A PULSO                         ";"35.617.984/0001-39";"Edital de Chamamento Público n°16/2022";"2005-09-24";"ATIVA";"             "
"ASSOCIACAO DE APOIO A EDUCACAO E ASSISTENCIA SOCIAL NOSSA SENHORA APARECIDA   ";"48.968.121/0001-58";"Edital de Chamamento Público n°16/2022";"2022-12-07";"ATIVA";"             "
"ASSOCIACAO DOS EDUCADORES DAS ESCOLAS COMUNITARIAS DE PERNAMBUCO              ";"12.858.189/0001-37";"Edital de Chamamento Público n°16/2022";"2005-11-03";"ATIVA";"(AEEC) MATRIZ"
"ASSOCIACAO DOS EDUCADORES DAS ESCOLAS COMUNITARIAS DE PERNAMBUCO              ";"12.858.189/0001-37";"Edital de Chamamento Público n°16/2022";"2020-03-30";"ATIVA";"             "
"ASSOCIACAO DOS EDUCADORES DAS ESCOLAS COMUNITARIAS DE PERNAMBUCO              ";"12.858.189/0001-37";"Edital de Chamamento Público n°16/2022";"0202-02-10";"ATIVA";"             "
"ASSOCIACAO DOS EDUCADORES DAS ESCOLAS COMUNITARIAS DE PERNAMBUCO              ";"12.858.189/0001-37";"Edital de Chamamento Público n°16/2022";"2004-10-02";"ATIVA";"             "
"ASSOCIACAO DOS EDUCADORES DAS ESCOLAS COMUNITARIAS DE PERNAMBUCO              ";"12.858.189/0001-37";"Edital de Chamamento Público n°16/2022";"2021-05-31";"ATIVA";"             "
"ASSOCIACAO DOS EDUCADORES DAS ESCOLAS COMUNITARIAS DE PERNAMBUCO              ";"12.858.189/0001-37";"Edital de Chamamento Público n°16/2022";"2018-11-16";"ATIVA";"             "
"ASSOCIACAO DOS EDUCADORES DAS ESCOLAS COMUNITARIAS DE PERNAMBUCO              ";"12.858.189/0001-37";"Edital de Chamamento Público n°16/2022";"2022-02-21";"ATIVA";"             "
"ASSOCIACAO DOS EDUCADORES DAS ESCOLAS COMUNITARIAS DE PERNAMBUCO              ";"12.858.189/0001-37";"Edital de Chamamento Público n°16/2022";"2022-11-23";"ATIVA";"             "
"ASSOCIACAO DE MULHERES DE BEIRINHA                                            ";"02.241.220/0001-32";"Edital de Chamamento Público n°16/2022";"2005-11-03";"ATIVA";"             "
"CENTRO EDUCACIONAL MIRIAN IMELDA                                              ";"02.851.254/0001-49";"Edital de Chamamento Público n°16/2022";"2005-11-03";"ATIVA";"             "
"INSTITUTO MARLENE ALMEIDA                                                     ";"50.761.257/0001-34";"Edital de Chamamento Público n°16/2022";"2023-05-17";"ATIVA";"             "
"ASSOCIACAO INSTITUTO DE DESENVOLVIMENTO HUMANO MARIA LUCENA                   ";"50.924.481/0001-08";"Edital de Chamamento Público n°16/2022";"2023-05-05";"ATIVA";"             "
"ASSOCIACAO DE APOIO A EDUCACAO E ASSISTENCIA SOCIAL MARIA AMELIA              ";"30.785.529/0001-29";"Edital de Chamamento Público n°16/2022";"2018-06-15";"ATIVA";"             "
"ASSOCIACAO CENTRO EDUCACIONAL MAGNO DELAMADRI                                 ";"49.462.517/0001-91";"Edital de Chamamento Público n°16/2022";"2023-01-24";"ATIVA";"             "
"ASSOCIACAO DE EDUCACAO TERAPEUTICA LOGOS                                      ";"36.175.004/0001-58";"Edital de Chamamento Público n°16/2022";"2019-11-01";"ATIVA";"             "
"INSTITUTO ESPIRITA SEMEADORES DA FE E LAR DA ESPERANCA DURVAL CAMARA MADUREIRA";"12.589.461/0001-20";"Edital de Chamamento Público n°16/2022";"2005-09-24";"ATIVA";"             "
"INSTITUTO CRIANCA FELIZ                                                       ";"09.032.393/0001-90";"Edital de Chamamento Público n°16/2022";"2020-09-11";"ATIVA";"             "
"IDESC - INSTITUTO DE DESENVOLVIMENTO SOCIAL E CULTURAL                        ";"00.569.545/0001-13";"Edital de Chamamento Público n°16/2022";"1999-08-14";"ATIVA";"             "
"INSTITUTO DE CONSULTORIA, CIDADANIA E ASSESSORIA SOCIAL DE PERNAMBUCO         ";"10.836.102/0001-03";"Edital de Chamamento Público n°16/2022";"2022-08-22";"ATIVA";"             "
"GRUPO DE MAES DO IPSEP                                                        ";"02.274.331/0001-45";"Edital de Chamamento Público n°16/2022";"2005-11-03";"ATIVA";"             "
"CENTRO DE EDUCACAO COMUNITARIA GABRIELA FELIZ                                 ";"05.292.158/0001-04";"Edital de Chamamento Público n°16/2022";"2005-11-03";"ATIVA";"             "
"CENTRO EDUCACIONAL SOCIAL E CULTURAL                                          ";"12.585.329/0001-40";"Edital de Chamamento Público n°16/2022";"2005-11-03";"ATIVA";"             "
"CENTRO SOCIAL GUARARAPES                                                      ";"10.668.366/0001-97";"Edital de Chamamento Público n°16/2022";"2021-01-22";"ATIVA";"             "
"CASA DA COMUNIDADE DO BERARDO                                                 ";"32.331.626/0002-58";"Edital de Chamamento Público n°16/2022";"2023-04-20";"ATIVA";"             "
"ASSOCIACAO CONSTRUINDO A CIDADANIA                                            ";"31.733.692/0001-00";"Edital de Chamamento Público n°16/2022";"2021-04-01";"ATIVA";"             "
"CLUBE DE MAES DOS MORADORES DO ALTO DO REFUGIO                                ";"12.585.170/0001-64";"Edital de Chamamento Público n°16/2022";"2005-09-24";"ATIVA";"             "
"ASSOCIACAO GRUPO DE MAES DA AMIZADE DOS TORROES                               ";"02.323.303/0001-70";"Edital de Chamamento Público n°16/2022";"2005-11-03";"ATIVA";"             "
"CREHCE BENEFICENTE AMIGUINHOS                                                 ";"40.812.018/0001-02";"Edital de Chamamento Público n°16/2022";"2004-12-24";"ATIVA";"             "
"ASSOCIACAO PRO TERNURA                                                        ";"47.299.152/0004-43";"Edital de Chamamento Público n°09/2023";"2023-08-02";"ATIVA";"FILIAL 3     "
"ASSOCIACAO PRO TERNURA                                                        ";"47.299.152/0002-81";"Edital de Chamamento Público n°09/2023";"2023-06-12";"ATIVA";"FILIAL 1     "
"ASSOCIACAO PRO TERNURA                                                        ";"47.299.152/0003-62";"Edital de Chamamento Público n°09/2023";"2023-06-12";"ATIVA";"FILIAL 2     "
"CASA DA COMUNIDADE AMIGOS BRADI DE ULTIMA HORA                                ";"07.267.926/0001-97";"Edital de Chamamento Público n°09/2023";"2021-05-05";"ATIVA";"             "
